"variable_id","title","description","register_type","register_address","usable_address","divisor","factor","unit","variable_size","rest_writable","minimum_raw","maximum_raw","default_raw","included_in_definition","mqtt_topic"
4,"Current outdoor temperature (BT1)","","input",1,true,10,0.1,"°C","s16",false,0,0,0,true,"system/outdoortemperature"
5,"Supply line (EP23-BT2)","","input",2,true,10,0.1,"°C","s16",false,0,0,0,false,""
6,"Supply line (EP22-BT2)","","input",3,true,10,0.1,"°C","s16",false,0,0,0,false,""
7,"Supply line (EP21-BT2)","","input",4,true,10,0.1,"°C","s16",false,0,0,0,false,""
11,"Hot water top (BT7)","","input",8,true,10,0.1,"°C","s16",false,0,0,0,true,"hotwater/top"
12,"Hot water charging (BT6)","","input",9,true,10,0.1,"°C","s16",false,0,0,0,true,"hotwater/charging"
24,"Collector in (AZ10-BT26)","","input",21,true,10,0.1,"°C","s16",false,0,0,0,false,""
25,"Collector out (AZ10-BT27)","","input",22,true,10,0.1,"°C","s16",false,0,0,0,false,""
42,"Return line (EQ1-BT65)","","input",31,true,10,0.1,"°C","s16",false,0,0,0,false,""
50,"Temperature limiter (EB100-FD1)","","input",36,true,1,1,"","s16",false,0,0,0,false,""
54,"Average temperature (BT1)","","input",37,true,10,0.1,"°C","s16",false,0,0,0,true,"system/averageoutdoortemperature"
57,"External supply line (BT25)","","input",39,true,10,0.1,"°C","s16",false,0,0,0,true,"system/externalsupplyline"
58,"Flow sensor (BF1)","","input",40,true,10,0.1,"l/min","s16",false,0,0,0,true,"system/flowsensor"
59,"Electrical anode (EB100-FR1)","","input",41,true,1,1,"","s16",false,0,0,0,false,""
78,"Pool (CL12-BT51)","","input",59,true,10,0.1,"°C","s16",false,0,0,0,false,""
85,"Collector in (AZ13-BT26)","","input",66,true,10,0.1,"°C","s16",false,0,0,0,false,""
86,"Collector in (AZ12-BT26)","","input",67,true,10,0.1,"°C","s16",false,0,0,0,false,""
87,"Collector in (AZ11-BT26)","","input",68,true,10,0.1,"°C","s16",false,0,0,0,false,""
88,"Collector out (AZ13-BT27)","","input",69,true,10,0.1,"°C","s16",false,0,0,0,false,""
89,"Collector out (AZ12-BT27)","","input",70,true,10,0.1,"°C","s16",false,0,0,0,false,""
90,"Collector out (AZ11-BT27)","","input",71,true,10,0.1,"°C","s16",false,0,0,0,false,""
96,"Return line (EP23-BT3)","","input",75,true,10,0.1,"°C","s16",false,0,0,0,false,""
97,"Return line (EP22-BT3)","","input",76,true,10,0.1,"°C","s16",false,0,0,0,false,""
98,"Return line (EP21-BT3)","","input",77,true,10,0.1,"°C","s16",false,0,0,0,false,""
99,"Return line (EP15-BT3)","","input",78,true,10,0.1,"°C","s16",false,0,0,0,false,""
116,"Outgoing hot water (BT70)","","input",87,true,10,0.1,"°C","s16",false,0,0,0,false,""
121,"Return line (BT71)","","input",88,true,10,0.1,"°C","s16",false,0,0,0,true,"system/returnline"
123,"Collector (EQ1-BT57)","","input",90,true,10,0.1,"°C","s16",false,0,0,0,false,""
124,"Heating dump (EQ1-BT75)","","input",91,true,10,0.1,"°C","s16",false,0,0,0,false,""
127,"Supply line (EP47-BT2)","","input",94,true,10,0.1,"°C","s16",false,0,0,0,false,""
128,"Supply line (EP46-BT2)","","input",95,true,10,0.1,"°C","s16",false,0,0,0,false,""
129,"Supply line (EP45-BT2)","","input",96,true,10,0.1,"°C","s16",false,0,0,0,false,""
130,"Supply line (EP44-BT2)","","input",97,true,10,0.1,"°C","s16",false,0,0,0,false,""
131,"Return line (EP47-BT3)","","input",98,true,10,0.1,"°C","s16",false,0,0,0,false,""
132,"Return line (EP46-BT3)","","input",99,true,10,0.1,"°C","s16",false,0,0,0,false,""
133,"Return line (EP45-BT3)","","input",100,true,10,0.1,"°C","s16",false,0,0,0,false,""
134,"Return line (EP44-BT3)","","input",101,true,10,0.1,"°C","s16",false,0,0,0,false,""
151,"Room average temp. clim. system 8 (BT50)","","input",109,true,10,0.1,"°C","s16",false,0,0,0,false,""
152,"Room average temp. clim. system 7 (BT50)","","input",110,true,10,0.1,"°C","s16",false,0,0,0,false,""
153,"Room average temp. clim. system 6 (BT50)","","input",111,true,10,0.1,"°C","s16",false,0,0,0,false,""
154,"Room average temp. clim. system 5 (BT50)","","input",112,true,10,0.1,"°C","s16",false,0,0,0,false,""
155,"Room average temp. clim. system 4 (BT50)","","input",113,true,10,0.1,"°C","s16",false,0,0,0,false,""
156,"Room average temp. clim. system 3 (BT50)","","input",114,true,10,0.1,"°C","s16",false,0,0,0,false,""
157,"Room average temp. clim. system 2 (BT50)","","input",115,true,10,0.1,"°C","s16",false,0,0,0,false,""
158,"Room average temp. clim. system 1 (BT50)","","input",116,true,10,0.1,"°C","s16",false,0,0,0,false,""
242,"Oper. mode shunt climate system 8","","input",129,true,1,1,"","u8",false,0,0,0,false,""
243,"Oper. mode shunt climate system 7","","input",130,true,1,1,"","u8",false,0,0,0,false,""
244,"Oper. mode shunt climate system 6","","input",131,true,1,1,"","u8",false,0,0,0,false,""
245,"Oper. mode shunt climate system 5","","input",132,true,1,1,"","u8",false,0,0,0,false,""
247,"Relay status (ERS 1)","","input",134,true,1,1,"","u8",false,0,0,0,false,""
248,"Fan speed (AZ30-GQ2)","","input",135,true,1,1,"%","u8",false,0,0,0,false,""
249,"Fan speed (AZ30-GQ3)","","input",136,true,1,1,"%","u8",false,0,0,0,false,""
250,"Current hot water mode controlled by","","input",137,true,1,1,"","s8",false,0,0,0,false,""
259,"Max. compressor frequency, heating","","input",141,true,100,0.01,"Hz","u16",false,0,0,0,false,""
275,"External adjustment climate system 8","","input",151,true,1,1,"","u8",false,0,0,0,false,""
276,"External adjustment climate system 7","","input",152,true,1,1,"","u8",false,0,0,0,false,""
277,"External adjustment climate system 6","","input",153,true,1,1,"","u8",false,0,0,0,false,""
278,"External adjustment climate system 5","","input",154,true,1,1,"","u8",false,0,0,0,false,""
301,"Climate system 8","","input",156,true,1,1,"","u8",false,0,0,0,false,""
302,"Climate system 7","","input",157,true,1,1,"","u8",false,0,0,0,false,""
303,"Climate system 6","","input",158,true,1,1,"","u8",false,0,0,0,false,""
304,"Climate system 5","","input",159,true,1,1,"","u8",false,0,0,0,false,""
305,"Extra cooling","","input",160,true,1,1,"","u8",false,0,0,0,false,""
533,"Hot water comfort return (BT82)","","input",174,true,10,0.1,"°C","s16",false,0,0,0,false,""
534,"Hot water comfort heater (BT83)","","input",175,true,10,0.1,"°C","s16",false,0,0,0,false,""
555,"Compressor, total time pool, heat pump 8 (EP15)","","input",179,true,1,1,"h","u32",false,0,0,0,false,""
556,"Compressor, total time pool 2, heat pump 8 (EP15)","","input",181,true,1,1,"h","u32",false,0,0,0,false,""
558,"Compressor, total time pool, heat pump 8 (EP14)","","input",185,true,1,1,"h","u32",false,0,2147483647,0,false,""
559,"Compressor, total time pool 2, heat pump 8 (EP14)","","input",187,true,1,1,"h","u32",false,0,2147483647,0,false,""
561,"Compressor, total time pool, heat pump 7 (EP15)","","input",191,true,1,1,"h","u32",false,0,0,0,false,""
562,"Compressor, total time pool 2, heat pump 7 (EP15)","","input",193,true,1,1,"h","u32",false,0,0,0,false,""
564,"Compressor, total time pool, heat pump 7 (EP14)","","input",197,true,1,1,"h","u32",false,0,2147483647,0,false,""
565,"Compressor, total time pool 2, heat pump 7 (EP14)","","input",199,true,1,1,"h","u32",false,0,2147483647,0,false,""
567,"Compressor, total time pool, heat pump 6 (EP15)","","input",203,true,1,1,"h","u32",false,0,0,0,false,""
568,"Compressor, total time pool 2, heat pump 6 (EP15)","","input",205,true,1,1,"h","u32",false,0,0,0,false,""
570,"Compressor, total time pool, heat pump 6 (EP14)","","input",209,true,1,1,"h","u32",false,0,2147483647,0,false,""
571,"Compressor, total time pool 2, heat pump 6 (EP14)","","input",211,true,1,1,"h","u32",false,0,2147483647,0,false,""
573,"Compressor, total time pool, heat pump 5 (EP15)","","input",215,true,1,1,"h","u32",false,0,0,0,false,""
574,"Compressor, total time pool 2, heat pump 5 (EP15)","","input",217,true,1,1,"h","u32",false,0,0,0,false,""
576,"Compressor, total time pool, heat pump 5 (EP14)","","input",221,true,1,1,"h","u32",false,0,2147483647,0,false,""
577,"Compressor, total time pool 2, heat pump 5 (EP14)","","input",223,true,1,1,"h","u32",false,0,2147483647,0,false,""
579,"Compressor, total time pool, heat pump 4 (EP15)","","input",227,true,1,1,"h","u32",false,0,0,0,false,""
580,"Compressor, total time pool 2, heat pump 4 (EP15)","","input",229,true,1,1,"h","u32",false,0,0,0,false,""
582,"Compressor, total time pool, heat pump 4 (EP14)","","input",233,true,1,1,"h","u32",false,0,2147483647,0,false,""
583,"Compressor, total time pool 2, heat pump 4 (EP14)","","input",235,true,1,1,"h","u32",false,0,2147483647,0,false,""
585,"Compressor, total time pool, heat pump 3 (EP15)","","input",239,true,1,1,"h","u32",false,0,0,0,false,""
586,"Compressor, total time pool 2, heat pump 3 (EP15)","","input",241,true,1,1,"h","u32",false,0,0,0,false,""
588,"Compressor, total time pool, heat pump 3 (EP14)","","input",245,true,1,1,"h","u32",false,0,2147483647,0,false,""
589,"Compressor, total time pool 2, heat pump 3 (EP14)","","input",247,true,1,1,"h","u32",false,0,2147483647,0,false,""
591,"Compressor, total time pool, heat pump 2 (EP15)","","input",251,true,1,1,"h","u32",false,0,0,0,false,""
592,"Compressor, total time pool 2, heat pump 2 (EP15)","","input",253,true,1,1,"h","u32",false,0,0,0,false,""
594,"Compressor, total time pool, heat pump 2 (EP14)","","input",257,true,1,1,"h","u32",false,0,2147483647,0,false,""
595,"Compressor, total time pool 2, heat pump 2 (EP14)","","input",259,true,1,1,"h","u32",false,0,2147483647,0,false,""
597,"Compressor, total time pool, heat pump 1 (EP15)","","input",263,true,1,1,"h","u32",false,0,0,0,false,""
598,"Compressor, total time pool 2, heat pump 1 (EP15)","","input",265,true,1,1,"h","u32",false,0,0,0,false,""
599,"Compressor, total time cooling, heat pump 1 (EP14)","","input",267,true,1,1,"h","u32",false,-2147483648,2147483647,0,false,""
600,"Compressor, total time pool, heat pump 1 (EP14)","","input",269,true,1,1,"h","u32",false,-2147483648,2147483647,0,false,""
601,"Compressor, total time pool 2, heat pump 1 (EP14)","","input",271,true,1,1,"h","u32",false,-2147483648,2147483647,0,false,""
605,"Total op. time compr. cooling","","input",279,true,1,1,"h","u32",false,0,2147483647,0,false,""
606,"Compressor, total time pool, main unit (EP14)","","input",281,true,1,1,"h","u32",false,0,2147483647,0,false,""
607,"Compressor, total time pool 2, main unit (EP14)","","input",283,true,1,1,"h","u32",false,0,2147483647,0,false,""
608,"Op. time imm. heater in water tank","","input",285,true,10,0.1,"h","s32",false,0,9999999,0,false,""
623,"Heat pump 8 requested compressor frequency","","input",294,true,1,1,"Hz","u8",false,0,0,0,false,""
624,"Heat pump 7 requested compressor frequency","","input",295,true,1,1,"Hz","u8",false,0,0,0,false,""
625,"Heat pump 6 requested compressor frequency","","input",296,true,1,1,"Hz","u8",false,0,0,0,false,""
626,"Heat pump 5 requested compressor frequency","","input",297,true,1,1,"Hz","u8",false,0,0,0,false,""
627,"Heat pump 4 requested compressor frequency","","input",298,true,1,1,"Hz","u8",false,0,0,0,false,""
628,"Heat pump 3 requested compressor frequency","","input",299,true,1,1,"Hz","u8",false,0,0,0,false,""
629,"Heat pump 2 requested compressor frequency","","input",300,true,1,1,"Hz","u8",false,0,0,0,false,""
630,"Heat pump 1 requested compressor frequency","","input",301,true,1,1,"Hz","u8",false,0,0,0,true,"heatpump/requestedcompressorfrequency"
632,"Frost protection heat exchanger heat pump 8","","input",303,true,1,1,"","u8",false,0,0,0,false,""
633,"Frost protection heat exchanger heat pump 7","","input",304,true,1,1,"","u8",false,0,0,0,false,""
634,"Frost protection heat exchanger heat pump 6","","input",305,true,1,1,"","u8",false,0,0,0,false,""
635,"Frost protection heat exchanger heat pump 5","","input",306,true,1,1,"","u8",false,0,0,0,false,""
636,"Frost protection heat exchanger heat pump 4","","input",307,true,1,1,"","u8",false,0,0,0,false,""
637,"Frost protection heat exchanger heat pump 3","","input",308,true,1,1,"","u8",false,0,0,0,false,""
638,"Frost protection heat exchanger heat pump 2","","input",309,true,1,1,"","u8",false,0,0,0,false,""
666,"Available compressors heating","","input",317,true,1,1,"","u8",false,0,0,0,false,""
667,"Available compressors hot water","","input",318,true,1,1,"","u8",false,0,0,0,false,""
668,"Available compressors pool 1","","input",319,true,1,1,"","u8",false,0,0,0,false,""
669,"Available compressors pool 2","","input",320,true,1,1,"","u8",false,0,0,0,false,""
670,"Available compressors cooling","","input",321,true,1,1,"","u8",false,0,0,0,false,""
